meanTemp,TotPrecip,TotSnow,Max24hrPrecip,Max24hrSnow
30.9,2.03,5.1,1.16,2.1
29.6,2.15,9.6,0.5,6.8
34.1,3.92,12.7,1.17,10.2
44.7,3.52,0,1.83,0
63.2,0.25,0,0.1,0
67,5.35,0,2.07,0
73.8,1.61,0,1,0
74.7,1.79,0,1.05,0
65,5.36,0,2.46,0
53.7,2.58,0,1.78,0
43.2,5.68,1.2,2.17,1.2
30.8,2.83,10.7,0.83,3.8
23.7,4.39,42.3,0.86,20
30.5,4.09,26.3,1.52,12.7
46.3,1.9,0.5,0.64,0.3
52.5,2.02,0,0.59,0
55.1,4.47,0,0.94,0
66.6,6.44,0,2.4,0
71.9,2.12,0,0.97,0
70.7,4.27,0,1.45,0
67.1,1.81,0,0.69,0
53.1,2.23,0,0.74,0
45.5,6.86,4.9,1.56,3.4
28.5,7.42,24.6,2.46,10
28.3,4.18,9.8,1.27,3.5
27.6,3,9.8,0.91,6.7
47.2,1.5,0.2,0.58,0.2
46.1,2.62,1.5,0.92,1.3
58,4.91,0,1.17,0
67.5,2.76,0,1.07,0
70.9,2.22,0,1.26,0
67.8,9.92,0,2.19,0
65.9,2.04,0,1.19,0
58.4,0.34,0,0.19,0
47.9,0.98,0,0.53,0
34.8,3.6,4.9,1.91,3.1
32.6,2.45,4,0.91,2.4
29.6,1.44,9,0.95,8.5
37.7,2.3,0.9,1.61,0.8
47.1,4.15,0.6,1,0.2
56.9,4.36,0,0.91,0
65.4,2.88,0,1.11,0
74.3,3.98,0,1.01,0
73.1,2.19,0,1.06,0
64.7,1.24,0,0.52,0
61.5,1.13,0,0.44,0
41.2,5.13,1.1,3.11,1
30.4,3.95,26.8,1.22,8.3
23.3,5.11,32.5,1.11,7.3
26.9,2.08,17,0.83,6.6
38,3.14,11.8,0.86,6.5
48,2.62,0,0.64,0
55,5.37,0,1.52,0
63.6,4.5,NR,0.78,NR
74.5,4.53,0,0.9,0
73.7,1.24,0,0.46,0
65.7,0.67,0,0.26,0
54.3,4.84,0,1.34,0
49.6,5.16,1.1,1.81,1.1
36.3,1.25,5.5,0.52,4.6
34.7,3.21,13.7,0.69,6.5
34.4,3.25,6.9,0.65,4.1
39.2,1.66,9.9,0.54,4.8
50.9,3.23,0,0.77,0
60.3,2.53,0,0.81,0
71.6,0.93,0,0.69,0
76.3,1.1,0,0.27,0
74.4,2.12,0,0.53,0
63.2,6.47,0,2.11,0
58.4,1.6,0,0.88,0
43.7,3.71,1.4,1,1.2
36.8,1.64,2.4,0.31,1.4
36.2,3.86,7.9,0.72,3.9
27.7,3.81,15.2,1.31,5.9
33.7,2.99,5.1,1.21,2
46.7,2.38,0,0.52,0
55.8,1.55,0,0.39,0
69.1,1.1,0,0.44,0
73.5,1.45,0,0.98,0
70.8,3.14,0,1.32,0
61.5,0.89,0,0.22,0
56.3,1.99,0,1.28,0
47.8,6.17,0,2.04,0
35.5,3.37,2.7,1.18,1.7
34,4.04,13.9,0.96,6.3
34.7,3.71,9.2,0.95,4.8
39,4.41,3.9,1.03,1.9
51,3.06,0,1.38,0
59.1,4.81,0,1.73,0
66,4.31,0,1.64,0
74,2.13,0,0.68,0
70.6,3.23,0,1.34,0
65.5,2,0,0.59,0
54.8,3.98,0,1.06,0
42.6,6.6,0,1.54,0
35,4.69,8.4,1.44,3
32.6,4.31,10.7,1.06,4.7
32.5,4.71,12.1,1.6,4.5
37.2,4.41,1.4,1.28,0.6
50.6,4.41,0,1.84,0
57.2,3.57,0,1.39,0
70.6,3.26,0,0.67,0
77.5,0.52,0,0.17,0
72.1,6.86,0,2.49,0
66.3,1.13,0,0.54,0
53,1.61,0,0.54,0
44.9,1.72,0,1.14,0
35.6,4.09,2.4,0.99,1.6
34.2,6.28,13.6,1.96,8.4
35,4.14,11.4,1.56,5.8
39,11,0.2,2.53,0.1
48.9,6.04,2.2,1.76,1.6
58.4,5.06,0,1.45,0
70.2,0.48,0,0.26,0
73.2,2.76,0,1.16,0
72,1.81,0,0.93,0
66.3,2.5,0,1.04,0
56.2,4.91,0,1.39,0
48.6,7.66,0,2.54,0
40.1,5.09,0,1.68,0
25.9,3.26,22.8,0.65,4.8
36.4,3.37,1.9,0.81,0.5
38.8,3.33,0.4,0.95,0.3
50.1,5.25,2.1,2.47,2.1
56.3,13.38,0,4.47,0
66.6,2.78,0,0.78,0
72.1,2.5,0,0.86,0
70.1,5.64,0,2.58,0
63.2,8.31,0,5.63,0
58.6,3.58,0,1.35,0
44.4,5.34,0,1.75,0
34.4,5.4,13.9,1.35,6
28.5,0.92,0.9,0.62,0.3
32,4.11,6.5,1.67,3.8
37.6,5.42,7,1.72,4.2
49.2,4.12,0.4,1.26,0.4
62.7,0.99,0,0.29,0
66.8,3.52,0,1.96,0
77.2,4.28,0,2.39,0
74.5,17.09,0,7.06,0
64.5,2.4,0,1.25,0
55.1,6.94,0,2.49,0
41.9,5.68,2.5,2.18,2.3
26.6,1.03,1.8,0.9,0.8
30.6,6.99,7.7,1.52,6.1
32.5,4.36,14.5,0.74,6.7
33.5,5.39,25.8,1.25,13.2
45.6,2.94,3.2,0.83,3.1
55.4,1.85,0,0.54,0
68.9,2.03,0,1.11,0
71.5,3.32,0,1.04,0
71.8,1.46,0,0.58,0
61.1,5.07,0,1.29,0
54.3,4.39,0,2.33,0
46.1,3.46,0.6,1.64,0.6
36,6.13,15.4,1.29,5
23.4,2.47,20.6,0.72,9.5
34.6,1.34,2.8,0.43,1.5
39,3.38,11.5,0.91,6.4
49.4,3.78,1.1,1.68,0.7
59.8,3.63,0,0.9,0
71.3,1.62,0,0.52,0
74.1,0.64,0,0.3,0
69.3,1.71,0,0.66,0
67.3,0.35,0,0.16,0
54.5,2.67,0,0.79,0
47.1,5.75,0.1,1.42,0.1
40,6.58,0,1.9,0
31,9.54,6.6,1.79,3.1
25.5,5.87,23.9,2.64,19.3
39,4.48,12,1.93,4.2
48.7,7.82,2.1,1.6,2.1
56.6,4.45,0,0.97,0
63.9,2.96,0,0.85,0
72.4,3.91,0,1.08,0
72.4,5.37,0,1.18,0
64.6,7.5,0,2.07,0
52.6,4.62,0,1.29,0
46.5,3.35,0.1,0.81,0.1
26.4,1.78,4.6,1.22,2
28.7,2.72,4.1,1,1.5
26.7,3.45,10.7,0.77,3.9
37,5.81,14.6,1.4,6.4
48.9,4.44,0,0.78,0
